Filenames,ox,oy,oz,ux,uy,uz,vx,vy,vz,nr,width,height
71661823_s033.jpg,390.7364196777344,15.990737438201904,270.7536926269531,-325.0384979248047,2.990289568901062,6.56744384765625,-21.500495433807373,9.661406993865967,-279.27415466308594,33,1812,1444
71661825_s041.jpg,405.5549011230469,30.90115261077881,280.59466552734375,-349.8691711425781,1.6891392469406128,5.177004337310791,-17.96517515182495,2.587212324142456,-301.7381134033203,41,1936,1588
71661827_s049.jpg,391.3135986328125,39.066781997680664,288.8871154785156,-339.8096618652344,-0.8302749693393707,2.9226417541503906,-17.203060626983643,3.257031798362732,-306.6011657714844,49,1896,1604
71661829_s057.jpg,413.1117248535156,45.90144920349121,291.8094024658203,-371.1223907470703,3.4935267865657806,-6.3158369064331055,-5.558151006698608,3.3512256145477295,-308.8336944580078,57,2084,1580
71661833_s065.jpg,415.78099060058594,57.12077522277832,300.4068298339844,-374.40196228027344,-1.6996361017227173,1.4206156730651855,-9.167457342147827,2.850393772125244,-325.0023956298828,65,2124,1684
71661835_s073.jpg,401.84165954589844,55.26057815551758,314.27813720703125,-372.7026062011719,10.674038887023926,-0.9113947153091431,-6.105370283126831,-1.5901995301246643,-336.62379455566406,73,2124,1716
71661837_s081.jpg,403.84974670410156,69.97348022460938,311.99034118652344,-389.3262939453125,9.063421726226807,-20.268532752990723,8.068733930587769,-2.3586570620536804,-317.34556579589844,81,2244,1636
71661843_s097.jpg,408.7452087402344,79.15055847167969,320.8529815673828,-401.6786346435547,5.0279786586761475,-18.630435943603516,12.75960636138916,9.892752170562744,-314.8806457519531,97,2308,1648
71661845_s105.jpg,409.7452087402344,85.04208755493164,312.64239501953125,-392.6108856201172,8.619213104248047,-10.590698719024658,3.2516818046569824,10.059498310089111,-309.51991271972656,105,2292,1660
71661847_s113.jpg,412.0980529785156,98.17142868041992,286.4739227294922,-373.71595764160156,-0.8303409814834595,-7.724777698516846,4.85464072227478,11.98166573047638,-286.25653076171875,113,2116,1564
71661849_s121.jpg,388.2293701171875,107.61236572265625,286.0840759277344,-329.4828643798828,-9.582646369934082,1.8613238334655762,-0.9472787380218506,15.863017559051514,-276.6438903808594,121,1824,1444
71661877_s209.jpg,459.6687469482422,194.27921295166016,343.6381530761719,-459.2532653808594,9.650640487670898,-3.7816184759140015,0.6029332280158997,0.15237998962402344,-336.3634338378906,209,1332,918
71661895_s265.jpg,456.17295837402344,256.88609313964844,329.53306579589844,-445.56568908691406,6.692603707313538,5.0164560079574585,4.219425663352013,-10.19541585445404,-333.80377197265625,265,1270,934
71661903_s289.jpg,447.74891662597656,271.7071990966797,326.4551086425781,-447.3666687011719,9.679181694984436,0.5253852009773254,6.0532450675964355,0.3528972864151001,-320.18553161621094,289,2568,1788
71661905_s297.jpg,448.6213836669922,279.9490203857422,326.68218994140625,-435.0522766113281,4.548560231924057,4.065806359052658,-0.8196866512298584,2.9937037229537964,-326.8057556152344,297,1260,904
71661907_s305.jpg,448.46083068847656,284.1650085449219,319.8974151611328,-437.8086242675781,6.3952609077095985,4.829314470291138,-3.8339669704437256,9.903075337409973,-323.1164093017578,305,2528,1796
71661915_s329.jpg,417.5463409423828,313.8645477294922,309.6792297363281,-391.02488708496094,4.424592137336731,-2.681785434484482,5.719659090042114,3.657370924949646,-317.8753356933594,329,1124,904
71661917_s337.jpg,433.45188903808594,321.9384307861328,298.0675964355469,-410.201904296875,10.076114296913147,3.3340439200401306,1.1672518253326416,9.199596047401428,-297.27427673339844,337,2388,1680
71661919_s345.jpg,418.91859436035156,337.55116271972656,303.01393127441406,-383.52830505371094,3.777758687734604,-0.32663583755493164,2.496253490447998,-0.18193387985229492,-296.69219970703125,345,2244,1680
71661925_s361.jpg,425.29823303222656,341.0187072753906,305.09519958496094,-392.3034210205078,10.2759128510952,1.140466183423996,6.131657123565674,12.73139876127243,-296.64451599121094,361,2208,1644
71661927_s369.jpg,422.01507568359375,351.6026916503906,300.8289337158203,-376.76220703125,7.601719498634338,5.909722328186035,-5.153757810592651,7.0541011095047,-296.9522705078125,369,2112,1656
71661933_s385.jpg,406.61346435546875,369.7460021972656,286.65480041503906,-358.4561767578125,12.06443464756012,-6.402834415435791,3.9327061772346497,5.8602986335754395,-259.2089385986328,385,2044,1444
71661939_s409.jpg,382.8741912841797,408.3980712890625,283.858154296875,-302.74302673339844,7.665233731269836,-0.01859191060066223,0.07305699586868286,-7.914831161499023,-247.5998992919922,409,1792,1400
71661945_s425.jpg,373.4026641845703,414.3566131591797,278.1184539794922,-287.0406036376953,3.0022534132003784,5.841176748275757,-7.019012928009033,0.8003799915313721,-240.54876708984375,425,1608,1348
71661947_s433.jpg,372.0597229003906,418.4836730957031,268.71282958984375,-282.01734924316406,3.8546990156173706,15.953075408935547,-8.71957540512085,6.943940162658691,-234.3702392578125,433,1552,1300
71661957_s465.jpg,340.1443634033203,466.8392791748047,239.24347686767578,-217.7194366455078,-3.716875694692135,-4.872751235961914,-2.960771322250366,-12.047528743743896,-197.86286163330078,465,1188,1120
71662429_s045.jpg,404.1161193847656,32.38542461395264,283.84715270996094,-330.8606872558594,3.442443013191223,10.848057270050049,-10.002172231674194,7.596028447151184,-299.82859802246094,45,1868,1592
71662433_s061.jpg,412.45428466796875,58.22165489196777,309.8489990234375,-373.8760528564453,-1.9858867228031158,3.7868880927562714,-3.356771171092987,-2.012604057788849,-309.87220764160156,61,2084,1600
71662441_s085.jpg,405.42076110839844,73.37260437011719,298.5090026855469,-372.09556579589844,4.948369026184082,-5.359542727470398,7.516394138336182,4.8614338636398315,-302.9891357421875,85,2156,1612
71662443_s093.jpg,409.79710388183594,80.36678314208984,301.3560028076172,-396.3126220703125,5.658325552940369,-14.500348091125488,0.21436767280101776,1.8131403923034668,-305.1270294189453,93,2280,1576
71662457_s133.jpg,417.57569885253906,116.21734237670898,305.04248046875,-404.0234069824219,10.216980218887329,-10.925400257110596,-0.2651364207267761,3.1198898553848267,-304.79908752441406,133,2224,1640
71662459_s141.jpg,428.3727264404297,115.97615051269531,316.8802947998047,-418.14532470703125,17.954039096832275,-8.835422992706299,-1.9929695129394531,8.373493194580078,-303.7637176513672,141,2352,1604
71662461_s149.jpg,437.8160858154297,123.78009796142578,311.5444030761719,-429.63673400878906,13.739934921264648,-9.917878150939941,1.2902711033821106,13.203437328338623,-312.6954345703125,149,2408,1672
71662463_s157.jpg,443.1521453857422,126.02502822875977,324.5005798339844,-423.2702941894531,13.920373916625977,-11.054911613464355,5.980133771896362,20.18466091156006,-317.3598175048828,157,2400,1724
71662467_s165.jpg,449.88941955566406,134.90567016601562,334.01470947265625,-446.164306640625,16.24383020401001,-9.205568313598633,0.8738463521003723,14.03404712677002,-311.7323455810547,165,2556,1688
71662469_s173.jpg,452.45652770996094,144.1861801147461,324.2975769042969,-448.97816467285156,17.227803230285645,-6.658395051956177,1.1360562443733215,14.943414688110352,-310.12335205078125,173,2592,1676
71662471_s181.jpg,456.6145935058594,159.41585540771484,334.7136535644531,-455.0541076660156,12.57460355758667,3.3908857703208923,-3.032212972640991,10.611543655395508,-305.72320556640625,181,2608,1656
71662473_s189.jpg,457.5579071044922,167.01610565185547,335.7478485107422,-445.8826446533203,10.792613983154297,3.0846005380153656,1.5969250202178955,10.394093990325928,-321.62351989746094,189,2568,1784
71662477_s197.jpg,462.109619140625,183.98353576660156,334.4889373779297,-459.39508056640625,6.08149790763855,8.19939661026001,-9.107055187225342,3.119536340236664,-328.95481872558594,197,2660,1784
71662479_s205.jpg,463.8666534423828,192.92491149902344,332.5954132080078,-460.2412414550781,2.8194140195846558,13.730302810668945,-8.094929456710815,1.3903923630714417,-333.28526306152344,205,1324,910
71662481_s213.jpg,458.45252990722656,195.64793395996094,330.9612274169922,-466.0214385986328,13.086373805999756,-3.825022280216217,5.4025914669036865,1.6312446594238281,-306.6501770019531,213,2680,1680
71662483_s221.jpg,466.4012756347656,204.0948944091797,311.0913543701172,-462.6445617675781,2.995283007621765,24.35805320739746,-12.96691370010376,6.691873073577881,-305.00433349609375,221,2648,1680
71662487_s229.jpg,458.0039367675781,211.3061294555664,322.98085021972656,-461.4198455810547,16.951426148414612,-6.568271160125732,8.93922472000122,-3.8176950216293335,-296.0457000732422,229,2660,1664
71662489_s237.jpg,451.8292694091797,221.95537567138672,340.41078186035156,-442.453369140625,15.149679780006409,-12.799456119537354,13.7389817237854,-4.047101378440857,-335.8491668701172,237,1284,928
