Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel)
1,1,381,186,149.333328,1,1,1,381.000,186.000,0.000
1,1,422,165,143.333328,1,1,1,422.000,165.000,0.000
1,1,366,150,169.666672,1,1,1,366.000,150.000,0.000
1,1,425,151,170.000000,1,1,1,425.000,151.000,0.000
1,1,436,154,148.666672,1,1,1,436.000,154.000,0.000
1,1,365,186,95.000000,1,1,1,365.000,186.000,0.000
1,1,356,166,102.333336,1,1,1,356.000,166.000,0.000
1,1,452,129,145.666672,1,1,1,452.000,129.000,0.000
1,1,413,186,92.666664,1,1,1,413.000,186.000,0.000
1,1,369,142,69.000000,1,1,1,369.000,142.000,0.000
1,1,409,133,165.333328,1,1,1,409.000,133.000,0.000
1,1,400,181,131.333328,1,1,1,400.000,181.000,0.000
1,1,388,146,123.666664,1,1,1,388.000,146.000,0.000
1,1,408,146,106.666664,1,1,1,408.000,146.000,0.000
1,1,411,152,108.666664,1,1,1,411.000,152.000,0.000
1,1,408,157,208.333328,1,1,1,408.000,157.000,0.000
1,1,400,172,103.666664,1,1,1,400.000,172.000,0.000
1,1,414,186,96.000000,1,1,1,414.000,186.000,0.000
1,1,416,156,108.333336,1,1,1,416.000,156.000,0.000
