Filenames,ox,oy,oz,ux,uy,uz,vx,vy,vz,width,height,nr,depths
641_2002_2568_NM01_s004.png,488.54515910267946,427.333381821139,335.63186198269665,-513.4249170702626,0.8106067869831008,-14.495758560082152,6.734330282038968,1.3105183759336683,-388.7668921868082,1024,670,4,422.9118750629937
641_2002_2568_NM01_s014.png,480.50913810922094,407.418685672972,343.44071703241025,-518.3852922811277,0.7629257292070406,1.707536424790021,-4.417024444185529,1.3527948145082291,-396.34489903071824,1024,670,14,406.4085507876553
641_2002_2568_NM01_s024.png,475.1574679997277,387.586282328276,325.8499867071652,-509.0012939030716,0.7561501858507427,-0.39459599824948555,-2.0245356585602963,1.3297070894504373,-390.5922159734039,1024,670,24,387.55003631876156
641_2002_2568_NM01_s034.png,472.5403921179168,367.67543340377904,330.160364309089,-483.8684251305115,0.7156131352302282,0.5672146911481377,-4.444759413642373,1.3008941181303157,-381.0528229272334,1024,670,34,375.37066436090765
641_2002_2568_NM01_s039.png,485.4616627702552,357.7069790979335,329.93913113846315,-506.11004452325363,0.7221936546186498,8.34019696770656,-9.903977381491245,1.3475670470431282,-392.4102873313166,1024,670,39,358.11853771009174
641_2002_2568_NM01_s044.png,472.9527075285033,347.77398687762974,330.3800180657967,-486.79415998388464,0.6724270505285403,14.558863042032726,-17.938363887752075,1.2987443287607903,-374.5288142298647,1024,670,44,348.83154152178594
641_2002_2568_NM01_s049.png,480.16640633491295,337.8107958978836,331.10105633765323,-487.48295135216216,0.6852701530406193,11.07846920610774,-12.72556455774054,1.314827122191332,-381.539538945357,1024,670,49,340.39656046132524
641_2002_2568_NM01_s054.png,470.0154884034932,327.91926873048067,318.3048278998639,-490.23993575659125,0.7216847617428925,1.561381260258031,-5.3098806377196865,1.2854525447954188,-376.12900533434026,1024,670,54,332.16590554395094
641_2002_2568_NM01_s059.png,478.97284955043517,317.9647864019653,315.70071631259805,-505.150626337767,0.7686875857717723,-5.766844194083717,3.176860341318502,1.285299338034747,-379.7890766834723,1024,670,59,328.8235259378494
641_2002_2568_NM01_s064.png,484.6871730430862,307.9294930396431,338.30385962490715,-489.1656845505831,0.6859100633848243,11.624729388000787,-12.137317822566843,1.2970643302662097,-376.5668544663952,1024,670,64,315.81218205939274
