Filenames,ox,oy,oz,ux,uy,uz,vx,vy,vz,width,height,nr,bad_section,depths
641_2002_2568_NM01_s089.png,491.66493281591556,264.2328626894313,332.82468801941155,-493.23656594212036,-3.2347719183102015,6.572419705696177,-7.685124460966335,-8.031518547840392,-380.2313692570373,1024,670,89,False,253.67884076252008
641_2002_2568_NM01_s094.png,488.85258141739376,253.03268938335628,331.8871610062102,-494.04263092651547,-3.219660671648086,7.555197342144709,-3.6012198213345528,-7.7085128689618045,-366.16954700275375,1024,670,94,True,240.86580266574725
641_2002_2568_NM01_s099.png,482.42293416718985,242.28803606205602,353.8358009800558,-496.8959589179719,-4.03414480312253,-30.32865616776911,21.680704920095764,-7.974511113160759,-387.0836843374803,1024,670,99,False,228.98284462321624
641_2002_2567_NM01_s104.png,473.39661660449025,230.66544709681455,334.7932164882177,-486.40199445040605,-2.9937042372356757,15.833253459377943,-5.601899156638467,-7.8234734355806665,-370.9959707587368,1024,670,104,False,223.30816433004304
641_2002_2568_NM01_s109.png,487.34183536244893,219.66327991307688,337.83099874354235,-510.89161280014144,-3.2099517050361612,13.508188456487062,-12.002703590488522,-8.13124404748217,-383.5768093524527,1024,670,109,False,213.34008565279342
641_2002_2568_NM01_s114.png,495.3129249094335,208.48599136797057,334.4702056297183,-505.5843096317978,-3.106727191272597,16.697865449820597,-11.693756370994151,-8.179664360450573,-385.98491085186294,1024,670,114,False,206.92953301321174
641_2002_2568_NM01_s119.png,483.0040793553484,197.35785227793377,340.05987828221953,-512.3120936086566,-3.1606890253025597,16.318634218595776,-11.893066887369855,-8.167380830661358,-385.3346026794329,1024,670,119,False,193.2604509282501
641_2002_2568_NM01_s124.png,480.29637824674273,186.01092342215708,332.0947506509051,-484.67372037014684,-2.705187690584694,29.019093467227208,-18.92577134358544,-7.726945052628025,-362.0543591196711,1024,670,124,False,184.69514544576433
641_2002_2568_NM01_s129.png,492.27775469504127,175.1532306887408,342.6572715655717,-507.82258598249865,-3.4457083271149713,1.2733211807731095,-1.3604711923911168,-8.088951178684198,-385.02918732881733,1024,670,129,False,169.27427795563312
641_2002_2568_NM01_s134.png,485.64153643523036,163.70800353921777,331.2879134165818,-504.67743770961783,-3.171870357249645,13.298014106357357,-11.371542650173524,-8.028839230439445,-378.90246100138353,1024,670,134,False,165.11513508669265
641_2002_2568_NM01_s139.png,484.948964622556,152.8021154912605,343.6835944773486,-513.3118572156216,-3.639138316171028,-6.155744266614022,5.578823944669807,-7.558336613071361,-362.00436822996284,1024,670,139,False,143.48434580511451
641_2002_2568_NM01_s144.png,496.59684485241974,141.95479845895642,354.84922917425564,-516.4648617567099,-3.555024126829437,-1.1199198788282843,3.875669584556306,-7.917680676510656,-378.57364364399496,1024,670,144,False,133.56497458610806
641_2002_2568_NM01_s154.png,491.9685425169928,119.52379623474411,351.1886561129903,-536.1868448270509,-3.3609434300914103,14.55527222987621,-9.448340004175748,-8.905367303316083,-421.2993919729981,1024,670,154,False,116.35099504365856
641_2002_2568_NM01_s159.png,498.51228764589314,108.41983183153157,351.7871485940841,-542.7456490552836,-3.376312780990304,15.960108713454815,-13.201554896502444,-8.51426953309526,-401.4389339858796,1024,670,159,False,109.0056627679522
641_2002_2568_NM01_s164.png,477.89497799995445,96.93356217990684,343.01773557104485,-519.1501720267376,-3.660569537101807,-5.274579442185143,5.732858502223962,-8.228645293720732,-393.9975866053594,1024,670,164,False,97.9787624547193
641_2002_2568_NM01_s169.png,478.34808772948514,85.63637123512231,336.39286129322875,-503.14227663325534,-3.329893799493348,5.26725625176357,-5.556623700263856,-8.191273445455494,-388.53794257174894,1024,670,169,False,85.8839052159774
641_2002_2568_NM01_s174.png,467.2885711292482,74.61180044139991,346.5108888503453,-489.04010148424567,-3.382960553751488,-1.8568156328477698,2.5971142928572704,-8.084975608689177,-386.12932817536694,1024,670,174,False,78.11054766833418
641_2002_2568_NM01_s179.png,480.28761166054875,63.368350159824175,338.35885236117144,-503.67416114673983,-3.2740882281490826,8.09993069287168,-7.760941479995097,-8.053060330251824,-381.23321730993075,1024,670,179,False,75.97040074311424
641_2002_2568_NM01_s184.png,477.9725079841031,52.19785431207989,338.6735424801194,-497.53423775059883,-3.270366387144314,6.276601316680228,-7.6444828247233545,-7.999687943890905,-378.72775131617067,1024,670,184,False,60.77521351461299
641_2002_2568_NM01_s189.png,478.1323847295527,41.111988078216996,342.2147080438157,-490.43929240303476,-3.4301333863417582,-3.6488617309539677,-0.10442537570253307,-8.27814263827306,-394.4542395204915,1024,670,189,False,46.48458182531876
641_2002_2568_NM01_s199.png,472.3414766160381,18.650141704138807,337.46311012467544,-497.6998381418747,-3.5762882914584573,-8.247910858113585,2.8537777980108103,-8.178300989381412,-390.6603089010761,1024,670,199,True,24.35408029151025
