Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel)
1,1,447,210,196.333328,1,1,1,447.000,210.000,0.000
1,1,450,213,232.333328,1,1,1,450.000,213.000,0.000
1,1,456,215,205.000000,1,1,1,456.000,215.000,0.000
1,1,442,216,214.333328,1,1,1,442.000,216.000,0.000
1,1,455,203,209.666672,1,1,1,455.000,203.000,0.000
1,1,448,219,202.000000,1,1,1,448.000,219.000,0.000
1,1,448,211,202.333328,1,1,1,448.000,211.000,0.000
1,1,451,200,207.333328,1,1,1,451.000,200.000,0.000
1,1,440,212,219.000000,1,1,1,440.000,212.000,0.000
1,1,433,220,198.333328,1,1,1,433.000,220.000,0.000
1,1,439,209,168.666672,1,1,1,439.000,209.000,0.000
1,1,451,220,194.666672,1,1,1,451.000,220.000,0.000
1,1,451,219,214.333328,1,1,1,451.000,219.000,0.000
1,1,453,212,181.000000,1,1,1,453.000,212.000,0.000
1,1,451,208,209.333328,1,1,1,451.000,208.000,0.000
1,1,461,211,201.000000,1,1,1,461.000,211.000,0.000
1,1,451,231,163.666672,1,1,1,451.000,231.000,0.000
1,1,435,209,166.333328,1,1,1,435.000,209.000,0.000
1,1,462,195,200.000000,1,1,1,462.000,195.000,0.000
1,1,485,227,197.333328,1,1,1,485.000,227.000,0.000
1,1,463,245,255.000000,1,1,1,463.000,245.000,0.000
1,1,419,231,202.000000,1,1,1,419.000,231.000,0.000
1,1,419,192,174.000000,1,1,1,419.000,192.000,0.000
1,1,451,172,182.666672,1,1,1,451.000,172.000,0.000
1,1,471,210,197.000000,1,1,1,471.000,210.000,0.000
1,1,433,255,255.000000,1,1,1,433.000,255.000,0.000
1,1,413,216,195.000000,1,1,1,413.000,216.000,0.000
1,1,446,192,199.333328,1,1,1,446.000,192.000,0.000
1,1,478,214,192.666672,1,1,1,478.000,214.000,0.000
1,1,457,256,255.000000,1,1,1,457.000,256.000,0.000
1,1,393,246,167.333328,1,1,1,393.000,246.000,0.000
1,1,417,203,173.000000,1,1,1,417.000,203.000,0.000
1,1,460,194,212.000000,1,1,1,460.000,194.000,0.000
1,1,477,224,178.666672,1,1,1,477.000,224.000,0.000
1,1,446,278,197.000000,1,1,1,446.000,278.000,0.000
1,1,413,263,255.000000,1,1,1,413.000,263.000,0.000
1,1,399,213,179.333328,1,1,1,399.000,213.000,0.000
1,1,396,197,192.666672,1,1,1,396.000,197.000,0.000
1,1,403,199,165.000000,1,1,1,403.000,199.000,0.000
1,1,459,180,162.000000,1,1,1,459.000,180.000,0.000
1,1,479,189,207.666672,1,1,1,479.000,189.000,0.000
1,1,489,217,176.666672,1,1,1,489.000,217.000,0.000
1,1,495,233,156.333328,1,1,1,495.000,233.000,0.000
1,1,482,255,162.333328,1,1,1,482.000,255.000,0.000
1,1,497,307,202.000000,1,1,1,497.000,307.000,0.000
1,1,494,343,215.000000,1,1,1,494.000,343.000,0.000
1,1,483,375,184.000000,1,1,1,483.000,375.000,0.000
1,1,426,309,168.333328,1,1,1,426.000,309.000,0.000
1,1,461,281,196.333328,1,1,1,461.000,281.000,0.000
1,1,455,339,166.666672,1,1,1,455.000,339.000,0.000
1,1,441,342,206.000000,1,1,1,441.000,342.000,0.000
1,1,439,293,173.000000,1,1,1,439.000,293.000,0.000
1,1,476,291,189.000000,1,1,1,476.000,291.000,0.000
1,1,447,238,152.666672,1,1,1,447.000,238.000,0.000
1,1,466,337,221.000000,1,1,1,466.000,337.000,0.000
1,1,465,304,176.666672,1,1,1,465.000,304.000,0.000
1,1,449,263,195.000000,1,1,1,449.000,263.000,0.000
1,1,454,341,234.000000,1,1,1,454.000,341.000,0.000
1,1,456,317,175.666672,1,1,1,456.000,317.000,0.000
