Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel)
1,1,428,217,178.666672,1,1,1,428.000,217.000,0.000
1,1,458,213,211.333328,1,1,1,458.000,213.000,0.000
1,1,465,225,195.666672,1,1,1,465.000,225.000,0.000
1,1,455,241,140.000000,1,1,1,455.000,241.000,0.000
1,1,431,208,200.666672,1,1,1,431.000,208.000,0.000
1,1,453,202,196.333328,1,1,1,453.000,202.000,0.000
1,1,463,222,178.333328,1,1,1,463.000,222.000,0.000
1,1,454,224,185.666672,1,1,1,454.000,224.000,0.000
1,1,428,214,175.666672,1,1,1,428.000,214.000,0.000
1,1,446,197,222.333328,1,1,1,446.000,197.000,0.000
1,1,448,224,201.666672,1,1,1,448.000,224.000,0.000
1,1,434,228,216.333328,1,1,1,434.000,228.000,0.000
1,1,437,202,201.000000,1,1,1,437.000,202.000,0.000
1,1,474,208,164.000000,1,1,1,474.000,208.000,0.000
1,1,445,231,190.000000,1,1,1,445.000,231.000,0.000
1,1,455,196,214.000000,1,1,1,455.000,196.000,0.000
1,1,461,209,194.333328,1,1,1,461.000,209.000,0.000
1,1,436,225,218.666672,1,1,1,436.000,225.000,0.000
1,1,433,210,203.333328,1,1,1,433.000,210.000,0.000
1,1,436,210,170.333328,1,1,1,436.000,210.000,0.000
1,1,448,222,203.333328,1,1,1,448.000,222.000,0.000
1,1,454,203,201.000000,1,1,1,454.000,203.000,0.000
1,1,448,212,195.333328,1,1,1,448.000,212.000,0.000
1,1,459,229,188.333328,1,1,1,459.000,229.000,0.000
1,1,451,204,191.000000,1,1,1,451.000,204.000,0.000
1,1,432,217,195.666672,1,1,1,432.000,217.000,0.000
1,1,448,213,194.333328,1,1,1,448.000,213.000,0.000
1,1,438,193,252.666672,1,1,1,438.000,193.000,0.000
1,1,446,215,188.333328,1,1,1,446.000,215.000,0.000
1,1,455,212,193.000000,1,1,1,455.000,212.000,0.000
1,1,451,220,194.666672,1,1,1,451.000,220.000,0.000
1,1,437,206,196.000000,1,1,1,437.000,206.000,0.000
1,1,444,215,214.666672,1,1,1,444.000,215.000,0.000
1,1,453,221,208.000000,1,1,1,453.000,221.000,0.000
1,1,447,212,197.666672,1,1,1,447.000,212.000,0.000
1,1,451,211,200.333328,1,1,1,451.000,211.000,0.000
1,1,453,216,199.333328,1,1,1,453.000,216.000,0.000
