Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel)
1,1,549,176,171.666672,1,1,1,549.000,176.000,0.000
1,1,522,208,170.333328,1,1,1,522.000,208.000,0.000
1,1,586,223,176.666672,1,1,1,586.000,223.000,0.000
1,1,582,195,187.666672,1,1,1,582.000,195.000,0.000
1,1,533,187,176.666672,1,1,1,533.000,187.000,0.000
1,1,552,208,177.000000,1,1,1,552.000,208.000,0.000
1,1,548,194,180.333328,1,1,1,548.000,194.000,0.000
1,1,563,213,159.000000,1,1,1,563.000,213.000,0.000
1,1,576,178,157.333328,1,1,1,576.000,178.000,0.000
1,1,560,178,186.666672,1,1,1,560.000,178.000,0.000
1,1,555,201,165.333328,1,1,1,555.000,201.000,0.000
1,1,565,220,174.000000,1,1,1,565.000,220.000,0.000
1,1,575,185,194.000000,1,1,1,575.000,185.000,0.000
1,1,551,181,168.333328,1,1,1,551.000,181.000,0.000
1,1,549,209,177.000000,1,1,1,549.000,209.000,0.000
1,1,571,185,165.666672,1,1,1,571.000,185.000,0.000
1,1,556,205,165.000000,1,1,1,556.000,205.000,0.000
1,1,567,208,178.333328,1,1,1,567.000,208.000,0.000
1,1,556,186,170.333328,1,1,1,556.000,186.000,0.000
1,1,564,193,176.666672,1,1,1,564.000,193.000,0.000
1,1,564,200,180.333328,1,1,1,564.000,200.000,0.000
1,1,556,196,178.333328,1,1,1,556.000,196.000,0.000
1,1,566,196,186.666672,1,1,1,566.000,196.000,0.000
1,1,563,215,164.000000,1,1,1,563.000,215.000,0.000
1,1,553,202,167.000000,1,1,1,553.000,202.000,0.000
1,1,562,189,180.000000,1,1,1,562.000,189.000,0.000
1,1,582,206,177.333328,1,1,1,582.000,206.000,0.000
1,1,563,225,184.333328,1,1,1,563.000,225.000,0.000
1,1,536,207,171.666672,1,1,1,536.000,207.000,0.000
1,1,550,182,177.000000,1,1,1,550.000,182.000,0.000
1,1,585,179,191.000000,1,1,1,585.000,179.000,0.000
1,1,596,204,162.000000,1,1,1,596.000,204.000,0.000
1,1,582,241,178.666672,1,1,1,582.000,241.000,0.000
1,1,559,238,162.333328,1,1,1,559.000,238.000,0.000
1,1,532,200,169.333328,1,1,1,532.000,200.000,0.000
1,1,564,170,178.000000,1,1,1,564.000,170.000,0.000
1,1,582,179,188.333328,1,1,1,582.000,179.000,0.000
1,1,551,193,180.666672,1,1,1,551.000,193.000,0.000
1,1,560,181,192.666672,1,1,1,560.000,181.000,0.000
1,1,572,193,184.666672,1,1,1,572.000,193.000,0.000
1,1,574,221,184.000000,1,1,1,574.000,221.000,0.000
1,1,566,197,191.666672,1,1,1,566.000,197.000,0.000
1,1,571,209,179.666672,1,1,1,571.000,209.000,0.000
1,1,561,206,174.333328,1,1,1,561.000,206.000,0.000
1,1,575,200,170.000000,1,1,1,575.000,200.000,0.000
1,1,550,210,179.000000,1,1,1,550.000,210.000,0.000
1,1,566,196,186.666672,1,1,1,566.000,196.000,0.000
1,1,575,207,186.666672,1,1,1,575.000,207.000,0.000
1,1,562,207,172.666672,1,1,1,562.000,207.000,0.000
1,1,554,202,176.666672,1,1,1,554.000,202.000,0.000
1,1,571,189,180.666672,1,1,1,571.000,189.000,0.000
1,1,563,207,167.666672,1,1,1,563.000,207.000,0.000
1,1,560,196,154.000000,1,1,1,560.000,196.000,0.000
1,1,563,195,187.333328,1,1,1,563.000,195.000,0.000
1,1,569,202,194.666672,1,1,1,569.000,202.000,0.000
1,1,563,210,180.666672,1,1,1,563.000,210.000,0.000
1,1,562,207,172.666672,1,1,1,562.000,207.000,0.000
1,1,565,205,172.000000,1,1,1,565.000,205.000,0.000
1,1,569,197,182.333328,1,1,1,569.000,197.000,0.000
1,1,551,207,173.666672,1,1,1,551.000,207.000,0.000
1,1,554,157,180.333328,1,1,1,554.000,157.000,0.000
1,1,599,159,176.666672,1,1,1,599.000,159.000,0.000
1,1,611,152,166.000000,1,1,1,611.000,152.000,0.000
1,1,607,228,153.000000,1,1,1,607.000,228.000,0.000
1,1,591,263,199.666672,1,1,1,591.000,263.000,0.000
1,1,550,234,166.000000,1,1,1,550.000,234.000,0.000
1,1,541,201,168.000000,1,1,1,541.000,201.000,0.000
1,1,517,194,175.333328,1,1,1,517.000,194.000,0.000
1,1,555,174,170.666672,1,1,1,555.000,174.000,0.000
1,1,591,182,176.000000,1,1,1,591.000,182.000,0.000
1,1,615,155,185.666672,1,1,1,615.000,155.000,0.000
1,1,628,182,177.000000,1,1,1,628.000,182.000,0.000
1,1,603,216,194.000000,1,1,1,603.000,216.000,0.000
1,1,563,197,194.666672,1,1,1,563.000,197.000,0.000
1,1,563,194,192.333328,1,1,1,563.000,194.000,0.000
1,1,583,193,177.666672,1,1,1,583.000,193.000,0.000
1,1,563,183,174.666672,1,1,1,563.000,183.000,0.000
1,1,580,183,200.666672,1,1,1,580.000,183.000,0.000
1,1,567,201,173.333328,1,1,1,567.000,201.000,0.000
1,1,573,184,197.333328,1,1,1,573.000,184.000,0.000
