Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel)
1,1,561,193,141.333328,1,1,1,561.000,193.000,0.000
1,1,550,193,146.666672,1,1,1,550.000,193.000,0.000
1,1,573,197,152.000000,1,1,1,573.000,197.000,0.000
1,1,564,159,103.666664,1,1,1,564.000,159.000,0.000
1,1,554,210,127.333336,1,1,1,554.000,210.000,0.000
1,1,549,143,255.000000,1,1,1,549.000,143.000,0.000
1,1,567,162,124.666664,1,1,1,567.000,162.000,0.000
1,1,577,192,128.666672,1,1,1,577.000,192.000,0.000
1,1,560,195,116.666664,1,1,1,560.000,195.000,0.000
1,1,551,199,139.333328,1,1,1,551.000,199.000,0.000
1,1,551,217,138.000000,1,1,1,551.000,217.000,0.000
1,1,568,189,183.000000,1,1,1,568.000,189.000,0.000
1,1,563,183,140.000000,1,1,1,563.000,183.000,0.000
1,1,557,203,163.666672,1,1,1,557.000,203.000,0.000
1,1,551,183,84.666664,1,1,1,551.000,183.000,0.000
1,1,556,187,121.333336,1,1,1,556.000,187.000,0.000
1,1,583,216,139.666672,1,1,1,583.000,216.000,0.000
1,1,551,184,95.000000,1,1,1,551.000,184.000,0.000
1,1,554,185,123.666664,1,1,1,554.000,185.000,0.000
1,1,573,214,140.000000,1,1,1,573.000,214.000,0.000
1,1,574,193,120.000000,1,1,1,574.000,193.000,0.000
1,1,568,198,125.333336,1,1,1,568.000,198.000,0.000
1,1,567,199,156.000000,1,1,1,567.000,199.000,0.000
1,1,570,203,124.333336,1,1,1,570.000,203.000,0.000
1,1,573,199,119.000000,1,1,1,573.000,199.000,0.000
1,1,570,193,142.666672,1,1,1,570.000,193.000,0.000
1,1,581,185,171.000000,1,1,1,581.000,185.000,0.000
1,1,571,187,118.000000,1,1,1,571.000,187.000,0.000
1,1,569,195,139.666672,1,1,1,569.000,195.000,0.000
1,1,578,193,116.000000,1,1,1,578.000,193.000,0.000
1,1,571,191,151.000000,1,1,1,571.000,191.000,0.000
1,1,572,186,126.000000,1,1,1,572.000,186.000,0.000
1,1,564,191,154.333328,1,1,1,564.000,191.000,0.000
1,1,578,180,97.333336,1,1,1,578.000,180.000,0.000
1,1,567,189,170.000000,1,1,1,567.000,189.000,0.000
1,1,573,197,152.000000,1,1,1,573.000,197.000,0.000
1,1,572,188,114.000000,1,1,1,572.000,188.000,0.000
1,1,568,197,128.666672,1,1,1,568.000,197.000,0.000
1,1,574,189,120.333336,1,1,1,574.000,189.000,0.000
1,1,565,197,150.666672,1,1,1,565.000,197.000,0.000
1,1,562,179,121.333336,1,1,1,562.000,179.000,0.000
1,1,596,176,123.666664,1,1,1,596.000,176.000,0.000
1,1,582,202,142.666672,1,1,1,582.000,202.000,0.000
1,1,574,203,112.333336,1,1,1,574.000,203.000,0.000
1,1,555,172,134.666672,1,1,1,555.000,172.000,0.000
1,1,566,175,138.666672,1,1,1,566.000,175.000,0.000
1,1,600,188,142.333328,1,1,1,600.000,188.000,0.000
1,1,588,202,131.666672,1,1,1,588.000,202.000,0.000
1,1,568,225,124.333336,1,1,1,568.000,225.000,0.000
1,1,536,171,149.333328,1,1,1,536.000,171.000,0.000
1,1,590,172,133.666672,1,1,1,590.000,172.000,0.000
1,1,611,202,131.333328,1,1,1,611.000,202.000,0.000
1,1,600,230,117.000000,1,1,1,600.000,230.000,0.000
1,1,563,242,180.333328,1,1,1,563.000,242.000,0.000
1,1,526,213,139.000000,1,1,1,526.000,213.000,0.000
1,1,530,187,118.000000,1,1,1,530.000,187.000,0.000
